"Story","Title","Result","Date","Stability","Duration (s)"
"Get Chat Message","Get chat contents with invalid path","SUCCESS","2023-04-04T09:48:26.824+07:00[Asia/Bangkok]","0.0","0.36"
"Get Inbox List","Get all list chat with invalid path","SUCCESS","2023-04-04T09:48:27.736+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Message","Create message with invalid parameter mentor_id on json request body","SUCCESS","2023-04-04T09:48:28.988+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid parameter student_id on json request body","SUCCESS","2023-04-04T09:48:29.342+07:00[Asia/Bangkok]","0.0","0.56"
"Post Create Message","Create message with blank or empty parameter on json request body","SUCCESS","2023-04-04T09:48:29.913+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create message with extra parameter on json request body","SUCCESS","2023-04-04T09:48:30.309+07:00[Asia/Bangkok]","0.0","0.87"
"Post Create Message","Create messages longer than 500 characters","SUCCESS","2023-04-04T09:48:31.554+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create message without any characters or request body","SUCCESS","2023-04-04T09:48:31.92+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid path","SUCCESS","2023-04-04T09:48:32.281+07:00[Asia/Bangkok]","0.0","0.36"
"Get Mentor Transaction","Get mentor transaction with invalid path","SUCCESS","2023-04-04T09:49:19.225+07:00[Asia/Bangkok]","0.0","0.35"
"Get Student Transaction","Get student transaction with valid path","SUCCESS","2023-04-04T09:49:19.581+07:00[Asia/Bangkok]","0.0","0.62"
"Get Student Transaction","Get student transaction with invalid path","SUCCESS","2023-04-04T09:49:20.207+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid parameter class_id on json request body","SUCCESS","2023-04-04T09:49:22.349+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Transaction","Create transaction with invalid parameter schedule_id on json request body","SUCCESS","2023-04-04T09:49:22.713+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Transaction","Create transaction with invalid parameter start_date on json request body","SUCCESS","2023-04-04T09:49:23.075+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with blank or empty parameter on json request body","SUCCESS","2023-04-04T09:49:23.421+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with extra parameter on json request body","SUCCESS","2023-04-04T09:49:23.765+07:00[Asia/Bangkok]","0.0","1.01"
"Post Create Transaction","Create transaction with 1 parameter only","SUCCESS","2023-04-04T09:49:24.787+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Transaction","Create transaction without request body","SUCCESS","2023-04-04T09:49:25.141+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid path","SUCCESS","2023-04-04T09:49:25.49+07:00[Asia/Bangkok]","0.0","0.35"
