"Story","Title","Result","Date","Stability","Duration (s)"
"Login mentor","Login mentor valid json","SUCCESS","2023-04-04T09:48:09.923+07:00[Asia/Bangkok]","0.0","5.23"
"Login mentor","Login mentor invalid json","SUCCESS","2023-04-04T09:48:15.169+07:00[Asia/Bangkok]","0.0","1.74"
"Login mentor","Login mentor blank json","SUCCESS","2023-04-04T09:48:16.922+07:00[Asia/Bangkok]","0.0","0.35"
"Login mentor","Login student valid json","SUCCESS","2023-04-04T09:48:17.31+07:00[Asia/Bangkok]","0.0","1.73"
"Login mentor","Login student invalid json","SUCCESS","2023-04-04T09:48:19.048+07:00[Asia/Bangkok]","0.0","0.36"
"Login mentor","Login student blank json","SUCCESS","2023-04-04T09:48:19.42+07:00[Asia/Bangkok]","0.0","0.36"
"Register mentor","Register mentor valid json","SUCCESS","2023-04-04T09:48:19.796+07:00[Asia/Bangkok]","0.0","1.88"
"Register mentor","Register mentor with invalid json","SUCCESS","2023-04-04T09:48:22.206+07:00[Asia/Bangkok]","0.0","0.57"
"Register mentor","Register mentor with blank json","SUCCESS","2023-04-04T09:48:22.787+07:00[Asia/Bangkok]","0.0","0.37"
"Register student","Register student invalid data","SUCCESS","2023-04-04T09:48:24.253+07:00[Asia/Bangkok]","0.0","1.7"
"Register student","Register student blank data","SUCCESS","2023-04-04T09:48:25.965+07:00[Asia/Bangkok]","0.0","0.35"
