"Story","Title","Result","Date","Stability","Duration (s)"
"Get Mentor Transaction","Get mentor transaction with valid path","SUCCESS","2023-04-04T09:49:18.621+07:00[Asia/Bangkok]","0.0","0.59"
"Get Mentor Transaction","Get mentor transaction with invalid path","SUCCESS","2023-04-04T09:49:19.225+07:00[Asia/Bangkok]","0.0","0.35"
"Get Student Transaction","Get student transaction with valid path","SUCCESS","2023-04-04T09:49:19.581+07:00[Asia/Bangkok]","0.0","0.62"
"Get Student Transaction","Get student transaction with invalid path","SUCCESS","2023-04-04T09:49:20.207+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with valid parameter on json request body","SUCCESS","2023-04-04T09:49:20.563+07:00[Asia/Bangkok]","0.0","1.78"
"Post Create Transaction","Create transaction with invalid parameter class_id on json request body","SUCCESS","2023-04-04T09:49:22.349+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Transaction","Create transaction with invalid parameter schedule_id on json request body","SUCCESS","2023-04-04T09:49:22.713+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Transaction","Create transaction with invalid parameter start_date on json request body","SUCCESS","2023-04-04T09:49:23.075+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with blank or empty parameter on json request body","SUCCESS","2023-04-04T09:49:23.421+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with extra parameter on json request body","SUCCESS","2023-04-04T09:49:23.765+07:00[Asia/Bangkok]","0.0","1.01"
"Post Create Transaction","Create transaction with 1 parameter only","SUCCESS","2023-04-04T09:49:24.787+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Transaction","Create transaction without request body","SUCCESS","2023-04-04T09:49:25.141+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid path","SUCCESS","2023-04-04T09:49:25.49+07:00[Asia/Bangkok]","0.0","0.35"
