"Story","Title","Result","Date","Stability","Duration (s)"
"MusicLab API Automation Testing Capstone Project","Post to make a class with valid parameters of json file","SUCCESS","2023-04-04T09:48:32.654+07:00[Asia/Bangkok]","0.0","1.48"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor valid","ERROR","2023-04-04T09:48:35.043+07:00[Asia/Bangkok]","0.0","0.03"
"MusicLab API Automation Testing Capstone Project","Get mentor class detail","SUCCESS","2023-04-04T09:48:35.427+07:00[Asia/Bangkok]","0.0","0.42"
"MusicLab API Automation Testing Capstone Project","Put or edit a class valid json all parameters","SUCCESS","2023-04-04T09:48:35.855+07:00[Asia/Bangkok]","0.0","1.62"
"MusicLab API Automation Testing Capstone Project","Put or edit a class one parameter","SUCCESS","2023-04-04T09:48:37.481+07:00[Asia/Bangkok]","0.0","0.53"
"MusicLab API Automation Testing Capstone Project","Delete a class","FAILURE","2023-04-04T09:48:38.424+07:00[Asia/Bangkok]","0.0","0.42"
"Music Lab API Automation Testing","Delete schedule with valid id","FAILURE","2023-04-04T09:49:05.983+07:00[Asia/Bangkok]","0.0","0.85"
"Music Lab API Automation Testing","Get mentor schedule with valid id","SUCCESS","2023-04-04T09:49:08.595+07:00[Asia/Bangkok]","0.0","1.03"
"Music Lab API Automation Testing","Get mentor schedule with valid id no authorization","SUCCESS","2023-04-04T09:49:09.637+07:00[Asia/Bangkok]","0.0","0.68"
"Music Lab API Automation Testing","Post add mentor schedule with valid json","SUCCESS","2023-04-04T09:49:10.99+07:00[Asia/Bangkok]","0.0","0.53"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json","FAILURE","2023-04-04T09:49:12.384+07:00[Asia/Bangkok]","0.0","0.5"
"MusicLab API Automation Testing Capstone Project","Get student data","SUCCESS","2023-04-04T09:49:13.908+07:00[Asia/Bangkok]","0.0","0.63"
"MusicLab API Automation Testing Capstone Project","Put or edit student profile with valid parameters","SUCCESS","2023-04-04T09:49:14.542+07:00[Asia/Bangkok]","0.0","0.49"
"MusicLab API Automation Testing Capstone Project","Deactive student","FAILURE","2023-04-04T09:49:15.734+07:00[Asia/Bangkok]","0.0","0.5"
"MusicLab API Automation Testing Capstone Project","Put or edit student password with valid parameters","FAILURE","2023-04-04T09:49:16.237+07:00[Asia/Bangkok]","0.0","1.68"
