"Story","Title","Result","Date","Stability","Duration (s)"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor valid","ERROR","2023-04-04T09:48:35.043+07:00[Asia/Bangkok]","0.0","0.03"
"Mentor post genre","mentor post genre with no authorization","ERROR","2023-04-04T09:48:43.544+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Blank ID","ERROR","2023-04-04T09:48:44.27+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments Invalid JSON","ERROR","2023-04-04T09:48:46.149+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments No Auth","ERROR","2023-04-04T09:48:46.177+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Positive Case] Post Create Mentors Instruments Valid JSON","ERROR","2023-04-04T09:48:46.207+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get Single List Mentors With Invalid ID","ERROR","2023-04-04T09:48:53.122+07:00[Asia/Bangkok]","0.0","0.11"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get Single List Mentors With Blank ID","ERROR","2023-04-04T09:48:53.246+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Invalid JSON","ERROR","2023-04-04T09:49:00.904+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Valid JSON No Authorized","ERROR","2023-04-04T09:49:00.924+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Post Feature Review","[Positive Case] Post Create Review With Valid JSON","ERROR","2023-04-04T09:49:05.908+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Review","[Negative Case] Post Create Review With inValid JSON","ERROR","2023-04-04T09:49:05.938+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Review","[Negative Case] Post Create Review With empty comment","ERROR","2023-04-04T09:49:05.963+07:00[Asia/Bangkok]","0.0","0.01"
"Music Lab API Automation Testing","Post add mentor schedule with empty json","ERROR","2023-04-04T09:49:12.364+07:00[Asia/Bangkok]","0.0","0.01"
