"Story","Title","Result","Date","Stability","Duration (s)"
"MusicLab API Automation Testing Capstone Project","Post to make a class with invalid parameters of json file","SUCCESS","2023-04-04T09:48:34.139+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Post to make a class with null parameter","SUCCESS","2023-04-04T09:48:34.493+07:00[Asia/Bangkok]","0.0","0.54"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor invalid","SUCCESS","2023-04-04T09:48:35.077+07:00[Asia/Bangkok]","0.0","0.34"
"Music Lab API Automation Testing","Delete schedule with invalid id","FAILURE","2023-04-04T09:49:06.843+07:00[Asia/Bangkok]","0.0","0.7"
"Music Lab API Automation Testing","Delete schedule with empty id","FAILURE","2023-04-04T09:49:07.547+07:00[Asia/Bangkok]","0.0","0.34"
"Music Lab API Automation Testing","Delete schedule valid id no authorization","FAILURE","2023-04-04T09:49:07.895+07:00[Asia/Bangkok]","0.0","0.69"
"Music Lab API Automation Testing","Get mentor schedule with invalid id","SUCCESS","2023-04-04T09:49:10.321+07:00[Asia/Bangkok]","0.0","0.65"
"Music Lab API Automation Testing","Post add mentor schedule with empty json","ERROR","2023-04-04T09:49:12.364+07:00[Asia/Bangkok]","0.0","0.01"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json no authorization","FAILURE","2023-04-04T09:49:12.896+07:00[Asia/Bangkok]","0.0","0.33"
"Music Lab API Automation Testing","Post add mentor schedule availability with empty json","SUCCESS","2023-04-04T09:49:13.238+07:00[Asia/Bangkok]","0.0","0.33"
"Music Lab API Automation Testing","Post add mentor schedule with invalid json","SUCCESS","2023-04-04T09:49:13.573+07:00[Asia/Bangkok]","0.0","0.33"
"MusicLab API Automation Testing Capstone Project","Put or edit student profile with invalid parameters","SUCCESS","2023-04-04T09:49:15.043+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Put or edit a class null parameter","SUCCESS","2023-04-04T09:49:15.387+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Put or edit student password with invalid parameters","SUCCESS","2023-04-04T09:49:17.925+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Put or edit student password null parameter","SUCCESS","2023-04-04T09:49:18.272+07:00[Asia/Bangkok]","0.0","0.34"
