"Story","Title","Result","Date","Stability","Duration (s)"
"Login mentor","Login mentor valid json","SUCCESS","2023-04-04T09:48:09.923+07:00[Asia/Bangkok]","0.0","5.23"
"Login mentor","Login mentor invalid json","SUCCESS","2023-04-04T09:48:15.169+07:00[Asia/Bangkok]","0.0","1.74"
"Login mentor","Login mentor blank json","SUCCESS","2023-04-04T09:48:16.922+07:00[Asia/Bangkok]","0.0","0.35"
"Login mentor","Login student valid json","SUCCESS","2023-04-04T09:48:17.31+07:00[Asia/Bangkok]","0.0","1.73"
"Login mentor","Login student invalid json","SUCCESS","2023-04-04T09:48:19.048+07:00[Asia/Bangkok]","0.0","0.36"
"Login mentor","Login student blank json","SUCCESS","2023-04-04T09:48:19.42+07:00[Asia/Bangkok]","0.0","0.36"
"Register mentor","Register mentor valid json","SUCCESS","2023-04-04T09:48:19.796+07:00[Asia/Bangkok]","0.0","1.88"
"Register mentor","Register mentor with invalid json","SUCCESS","2023-04-04T09:48:22.206+07:00[Asia/Bangkok]","0.0","0.57"
"Register mentor","Register mentor with blank json","SUCCESS","2023-04-04T09:48:22.787+07:00[Asia/Bangkok]","0.0","0.37"
"Register student","Register student invalid data","SUCCESS","2023-04-04T09:48:24.253+07:00[Asia/Bangkok]","0.0","1.7"
"Register student","Register student blank data","SUCCESS","2023-04-04T09:48:25.965+07:00[Asia/Bangkok]","0.0","0.35"
"Get Chat Message","Get chat contents with valid path","SUCCESS","2023-04-04T09:48:26.326+07:00[Asia/Bangkok]","0.0","0.49"
"Get Chat Message","Get chat contents with invalid path","SUCCESS","2023-04-04T09:48:26.824+07:00[Asia/Bangkok]","0.0","0.36"
"Get Inbox List","Get all list chat with valid path","SUCCESS","2023-04-04T09:48:27.202+07:00[Asia/Bangkok]","0.0","0.53"
"Get Inbox List","Get all list chat with invalid path","SUCCESS","2023-04-04T09:48:27.736+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Message","Create message with valid parameter on json request body","SUCCESS","2023-04-04T09:48:28.094+07:00[Asia/Bangkok]","0.0","0.88"
"Post Create Message","Create message with invalid parameter mentor_id on json request body","SUCCESS","2023-04-04T09:48:28.988+07:00[Asia/Bangkok]","0.0","0.35"
