"Story","Title","Result","Date","Stability","Duration (s)"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get All List Mentors Normal Condition","SUCCESS","2023-04-06T09:14:42.074+07:00[Asia/Bangkok]","0.0","0.39"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get All List Mentors With Valid Parameters","SUCCESS","2023-04-06T09:14:42.467+07:00[Asia/Bangkok]","0.0","3.28"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get All List Mentors Top Week","SUCCESS","2023-04-06T09:14:45.755+07:00[Asia/Bangkok]","0.0","0.38"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get Single Mentor Profile","SUCCESS","2023-04-06T09:14:46.261+07:00[Asia/Bangkok]","0.0","0.5"
"[MusicLab-API] Post Feature Mentors","[Negative Case] Post Create Mentors Credential With Invalid JSON","SUCCESS","2023-04-06T09:14:46.801+07:00[Asia/Bangkok]","0.0","0.32"
"[MusicLab-API] Post Feature Mentors","[Negative Case] Post Create Mentors Credential With Valid JSON No Auth","SUCCESS","2023-04-06T09:14:47.132+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Post Feature Mentors","[Negative Case] Post Create Mentors Credential With Oversize Image","SUCCESS","2023-04-06T09:14:47.473+07:00[Asia/Bangkok]","0.0","2.76"
"[MusicLab-API] Post Feature Mentors","[Positive Case] Post Create Mentors Credential With Valid JSON","SUCCESS","2023-04-06T09:14:50.237+07:00[Asia/Bangkok]","0.0","1.29"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Password With Invalid JSON","SUCCESS","2023-04-06T09:14:51.538+07:00[Asia/Bangkok]","0.0","0.34"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Password With Valid JSON No Authorized","SUCCESS","2023-04-06T09:14:51.881+07:00[Asia/Bangkok]","0.0","0.32"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Oversize Image","SUCCESS","2023-04-06T09:14:54.035+07:00[Asia/Bangkok]","0.0","3.49"
"[MusicLab-API] Delete Feature Mentors","[Positive Case] Delete Mentors Without Authorized","SUCCESS","2023-04-06T09:14:59.841+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Delete Feature Mentors","[Positive Case] Delete Mentors With Authorized","SUCCESS","2023-04-06T09:15:00.187+07:00[Asia/Bangkok]","0.0","0.49"
