"Story","Title","Result","Date","Stability","Duration (s)"
"MusicLab API Automation Testing Capstone Project","Post to make a class with invalid parameters of json file","SUCCESS","2023-04-06T09:14:26.818+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Post to make a class with null parameter","SUCCESS","2023-04-06T09:14:27.165+07:00[Asia/Bangkok]","0.0","0.53"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor invalid","SUCCESS","2023-04-06T09:14:28.132+07:00[Asia/Bangkok]","0.0","0.34"
"Music Lab API Automation Testing","Delete schedule with invalid id","SUCCESS","2023-04-06T09:15:04.269+07:00[Asia/Bangkok]","0.0","0.68"
"Music Lab API Automation Testing","Delete schedule with empty id","SUCCESS","2023-04-06T09:15:04.96+07:00[Asia/Bangkok]","0.0","0.33"
"Music Lab API Automation Testing","Delete schedule valid id no authorization","SUCCESS","2023-04-06T09:15:05.301+07:00[Asia/Bangkok]","0.0","0.69"
"Music Lab API Automation Testing","Get mentor schedule with invalid id","SUCCESS","2023-04-06T09:15:07.519+07:00[Asia/Bangkok]","0.0","0.65"
"Music Lab API Automation Testing","Post add mentor schedule with invalid json","SUCCESS","2023-04-06T09:15:09.048+07:00[Asia/Bangkok]","0.0","0.5"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json no authorization","SUCCESS","2023-04-06T09:15:10.076+07:00[Asia/Bangkok]","0.0","0.34"
"Music Lab API Automation Testing","Post add mentor schedule availability with empty json","SUCCESS","2023-04-06T09:15:10.422+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Put or edit student profile with invalid parameters","SUCCESS","2023-04-06T09:15:12.03+07:00[Asia/Bangkok]","0.0","0.33"
"MusicLab API Automation Testing Capstone Project","Put or edit a class null parameter","SUCCESS","2023-04-06T09:15:12.368+07:00[Asia/Bangkok]","0.0","0.33"
"MusicLab API Automation Testing Capstone Project","Put or edit student password with invalid parameters","SUCCESS","2023-04-06T09:15:14.888+07:00[Asia/Bangkok]","0.0","0.54"
"MusicLab API Automation Testing Capstone Project","Put or edit student password null parameter","SUCCESS","2023-04-06T09:15:15.434+07:00[Asia/Bangkok]","0.0","0.33"
