"Story","Title","Result","Date","Stability","Duration (s)"
"Music Lab API Automation Testing","Delete schedule with valid id","SUCCESS","2023-04-06T09:15:03.009+07:00[Asia/Bangkok]","0.0","1.25"
"Music Lab API Automation Testing","Delete schedule with invalid id","SUCCESS","2023-04-06T09:15:04.269+07:00[Asia/Bangkok]","0.0","0.68"
"Music Lab API Automation Testing","Delete schedule with empty id","SUCCESS","2023-04-06T09:15:04.96+07:00[Asia/Bangkok]","0.0","0.33"
"Music Lab API Automation Testing","Delete schedule valid id no authorization","SUCCESS","2023-04-06T09:15:05.301+07:00[Asia/Bangkok]","0.0","0.69"
"Music Lab API Automation Testing","Get mentor schedule with valid id","SUCCESS","2023-04-06T09:15:06.004+07:00[Asia/Bangkok]","0.0","0.84"
"Music Lab API Automation Testing","Get mentor schedule with valid id no authorization","SUCCESS","2023-04-06T09:15:06.849+07:00[Asia/Bangkok]","0.0","0.66"
"Music Lab API Automation Testing","Get mentor schedule with invalid id","SUCCESS","2023-04-06T09:15:07.519+07:00[Asia/Bangkok]","0.0","0.65"
"Music Lab API Automation Testing","Post add mentor schedule with valid json","SUCCESS","2023-04-06T09:15:08.178+07:00[Asia/Bangkok]","0.0","0.52"
"Music Lab API Automation Testing","Post add mentor schedule with invalid json","SUCCESS","2023-04-06T09:15:09.048+07:00[Asia/Bangkok]","0.0","0.5"
"Music Lab API Automation Testing","Post add mentor schedule with empty json","ERROR","2023-04-06T09:15:09.553+07:00[Asia/Bangkok]","0.0","0.01"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json","FAILURE","2023-04-06T09:15:09.575+07:00[Asia/Bangkok]","0.0","0.49"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json no authorization","SUCCESS","2023-04-06T09:15:10.076+07:00[Asia/Bangkok]","0.0","0.34"
"Music Lab API Automation Testing","Post add mentor schedule availability with empty json","SUCCESS","2023-04-06T09:15:10.422+07:00[Asia/Bangkok]","0.0","0.34"
