"Story","Title","Result","Date","Stability","Duration (s)"
"Delete genre","Delete valid parameter genre","SUCCESS","2023-04-04T09:48:38.855+07:00[Asia/Bangkok]","0.0","0.73"
"Delete genre","Delete invalid parameter genre","SUCCESS","2023-04-04T09:48:39.6+07:00[Asia/Bangkok]","0.0","0.52"
"Delete genre","Delete blank parameter genre","SUCCESS","2023-04-04T09:48:40.124+07:00[Asia/Bangkok]","0.0","0.35"
"Get all data genre","Get all genre","SUCCESS","2023-04-04T09:48:40.482+07:00[Asia/Bangkok]","0.0","0.4"
"Get all data about genre mentor","Get mentor genre valid parameter","SUCCESS","2023-04-04T09:48:40.898+07:00[Asia/Bangkok]","0.0","0.42"
"Get all data about genre mentor","Get mentor genre invalid parameter","SUCCESS","2023-04-04T09:48:41.329+07:00[Asia/Bangkok]","0.0","0.35"
"Get all data about genre mentor","Get mentor genre blank parameter","SUCCESS","2023-04-04T09:48:41.681+07:00[Asia/Bangkok]","0.0","0.35"
"Mentor post genre","Mentor post genre with valid json","SUCCESS","2023-04-04T09:48:42.035+07:00[Asia/Bangkok]","0.0","0.73"
"Mentor post genre","Mentor post genre invalid json","SUCCESS","2023-04-04T09:48:42.777+07:00[Asia/Bangkok]","0.0","0.4"
"Mentor post genre","Mentor post genre blank json","SUCCESS","2023-04-04T09:48:43.182+07:00[Asia/Bangkok]","0.0","0.36"
"Mentor post genre","mentor post genre with no authorization","ERROR","2023-04-04T09:48:43.544+07:00[Asia/Bangkok]","0.0","0.02"
