"Story","Title","Result","Date","Stability","Duration (s)"
"Register mentor","Register mentor with existing json","FAILURE","2023-04-04T09:48:21.69+07:00[Asia/Bangkok]","0.0","0.51"
"Register student","Register student valid data","FAILURE","2023-04-04T09:48:23.169+07:00[Asia/Bangkok]","0.0","0.63"
"Register student","Register student with existing json","FAILURE","2023-04-04T09:48:23.808+07:00[Asia/Bangkok]","0.0","0.44"
"Post Create Message","Create message with 1 parameter(only chat contents)","FAILURE","2023-04-04T09:48:31.188+07:00[Asia/Bangkok]","0.0","0.36"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor valid","ERROR","2023-04-04T09:48:35.043+07:00[Asia/Bangkok]","0.0","0.03"
"MusicLab API Automation Testing Capstone Project","Delete a class","FAILURE","2023-04-04T09:48:38.424+07:00[Asia/Bangkok]","0.0","0.42"
"Mentor post genre","mentor post genre with no authorization","ERROR","2023-04-04T09:48:43.544+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Invalid ID","FAILURE","2023-04-04T09:48:43.933+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Blank ID","ERROR","2023-04-04T09:48:44.27+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments Invalid JSON","ERROR","2023-04-04T09:48:46.149+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments No Auth","ERROR","2023-04-04T09:48:46.177+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Positive Case] Post Create Mentors Instruments Valid JSON","ERROR","2023-04-04T09:48:46.207+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Delete Feature Mentors","[Positive Case] Delete Mentors With Authorized","FAILURE","2023-04-04T09:48:46.601+07:00[Asia/Bangkok]","0.0","0.5"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get All List Mentors With Invalid Parameters","FAILURE","2023-04-04T09:48:47.106+07:00[Asia/Bangkok]","0.0","2.5"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get Single List Mentors With Invalid ID","ERROR","2023-04-04T09:48:53.122+07:00[Asia/Bangkok]","0.0","0.11"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get Single List Mentors With Blank ID","ERROR","2023-04-04T09:48:53.246+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get Single Mentor Profile","FAILURE","2023-04-04T09:48:53.273+07:00[Asia/Bangkok]","0.0","0.54"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get Single List Mentors With Valid ID","FAILURE","2023-04-04T09:48:53.823+07:00[Asia/Bangkok]","0.0","0.49"
"[MusicLab-API] Put Feature Mentors","[Positive Case] Put Update Mentors Password With Valid JSON","FAILURE","2023-04-04T09:49:00.39+07:00[Asia/Bangkok]","0.0","0.51"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Invalid JSON","ERROR","2023-04-04T09:49:00.904+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Valid JSON No Authorized","ERROR","2023-04-04T09:49:00.924+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Put Feature Mentors","[Positive Case] Put Update Mentors Profile With Valid JSON","FAILURE","2023-04-04T09:49:04.446+07:00[Asia/Bangkok]","0.0","1.46"
"[MusicLab-API] Post Feature Review","[Positive Case] Post Create Review With Valid JSON","ERROR","2023-04-04T09:49:05.908+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Review","[Negative Case] Post Create Review With inValid JSON","ERROR","2023-04-04T09:49:05.938+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Review","[Negative Case] Post Create Review With empty comment","ERROR","2023-04-04T09:49:05.963+07:00[Asia/Bangkok]","0.0","0.01"
"Music Lab API Automation Testing","Delete schedule with valid id","FAILURE","2023-04-04T09:49:05.983+07:00[Asia/Bangkok]","0.0","0.85"
"Music Lab API Automation Testing","Delete schedule with invalid id","FAILURE","2023-04-04T09:49:06.843+07:00[Asia/Bangkok]","0.0","0.7"
"Music Lab API Automation Testing","Delete schedule with empty id","FAILURE","2023-04-04T09:49:07.547+07:00[Asia/Bangkok]","0.0","0.34"
"Music Lab API Automation Testing","Delete schedule valid id no authorization","FAILURE","2023-04-04T09:49:07.895+07:00[Asia/Bangkok]","0.0","0.69"
"Music Lab API Automation Testing","Post add mentor schedule with empty json","ERROR","2023-04-04T09:49:12.364+07:00[Asia/Bangkok]","0.0","0.01"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json","FAILURE","2023-04-04T09:49:12.384+07:00[Asia/Bangkok]","0.0","0.5"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json no authorization","FAILURE","2023-04-04T09:49:12.896+07:00[Asia/Bangkok]","0.0","0.33"
"MusicLab API Automation Testing Capstone Project","Deactive student","FAILURE","2023-04-04T09:49:15.734+07:00[Asia/Bangkok]","0.0","0.5"
"MusicLab API Automation Testing Capstone Project","Put or edit student password with valid parameters","FAILURE","2023-04-04T09:49:16.237+07:00[Asia/Bangkok]","0.0","1.68"
