"Story","Title","Result","Date","Stability","Duration (s)"
"Get Chat Message","Get chat contents with invalid path","SUCCESS","2023-04-06T09:14:19.237+07:00[Asia/Bangkok]","0.0","0.57"
"Get Inbox List","Get all list chat with invalid path","SUCCESS","2023-04-06T09:14:20.351+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid parameter mentor_id on json request body","SUCCESS","2023-04-06T09:14:21.577+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create message with invalid parameter student_id on json request body","SUCCESS","2023-04-06T09:14:21.951+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with blank or empty parameter on json request body","SUCCESS","2023-04-06T09:14:22.312+07:00[Asia/Bangkok]","0.0","0.59"
"Post Create Message","Create message with extra parameter on json request body","SUCCESS","2023-04-06T09:14:22.909+07:00[Asia/Bangkok]","0.0","0.85"
"Post Create Message","Create message with 1 parameter(only chat contents)","FAILURE","2023-04-06T09:14:23.77+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create messages longer than 500 characters","SUCCESS","2023-04-06T09:14:24.138+07:00[Asia/Bangkok]","0.0","0.38"
"Post Create Message","Create message without any characters or request body","SUCCESS","2023-04-06T09:14:24.526+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid path","SUCCESS","2023-04-06T09:14:24.888+07:00[Asia/Bangkok]","0.0","0.35"
"Get Mentor Transaction","Get mentor transaction with invalid path","SUCCESS","2023-04-06T09:15:16.393+07:00[Asia/Bangkok]","0.0","0.34"
"Get Student Transaction","Get student transaction with valid path","SUCCESS","2023-04-06T09:15:16.743+07:00[Asia/Bangkok]","0.0","0.6"
"Get Student Transaction","Get student transaction with invalid path","SUCCESS","2023-04-06T09:15:17.346+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid parameter class_id on json request body","SUCCESS","2023-04-06T09:15:20.988+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Transaction","Create transaction with invalid parameter schedule_id on json request body","SUCCESS","2023-04-06T09:15:21.34+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid parameter start_date on json request body","SUCCESS","2023-04-06T09:15:21.684+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with blank or empty parameter on json request body","SUCCESS","2023-04-06T09:15:22.027+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with extra parameter on json request body","SUCCESS","2023-04-06T09:15:22.378+07:00[Asia/Bangkok]","0.0","1.01"
"Post Create Transaction","Create transaction with 1 parameter only","SUCCESS","2023-04-06T09:15:23.392+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction without request body","SUCCESS","2023-04-06T09:15:23.736+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid path","SUCCESS","2023-04-06T09:15:24.088+07:00[Asia/Bangkok]","0.0","0.34"
