"Story","Title","Result","Date","Stability","Duration (s)"
"Get Chat Message","Get chat contents with valid path","SUCCESS","2023-04-06T09:14:18.745+07:00[Asia/Bangkok]","0.0","0.48"
"Get Chat Message","Get chat contents with invalid path","SUCCESS","2023-04-06T09:14:19.237+07:00[Asia/Bangkok]","0.0","0.57"
"Get Inbox List","Get all list chat with valid path","SUCCESS","2023-04-06T09:14:19.818+07:00[Asia/Bangkok]","0.0","0.52"
"Get Inbox List","Get all list chat with invalid path","SUCCESS","2023-04-06T09:14:20.351+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with valid parameter on json request body","SUCCESS","2023-04-06T09:14:20.719+07:00[Asia/Bangkok]","0.0","0.85"
"Post Create Message","Create message with invalid parameter mentor_id on json request body","SUCCESS","2023-04-06T09:14:21.577+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create message with invalid parameter student_id on json request body","SUCCESS","2023-04-06T09:14:21.951+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with blank or empty parameter on json request body","SUCCESS","2023-04-06T09:14:22.312+07:00[Asia/Bangkok]","0.0","0.59"
"Post Create Message","Create message with extra parameter on json request body","SUCCESS","2023-04-06T09:14:22.909+07:00[Asia/Bangkok]","0.0","0.85"
"Post Create Message","Create message with 1 parameter(only chat contents)","FAILURE","2023-04-06T09:14:23.77+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create messages longer than 500 characters","SUCCESS","2023-04-06T09:14:24.138+07:00[Asia/Bangkok]","0.0","0.38"
"Post Create Message","Create message without any characters or request body","SUCCESS","2023-04-06T09:14:24.526+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid path","SUCCESS","2023-04-06T09:14:24.888+07:00[Asia/Bangkok]","0.0","0.35"
