"Story","Title","Result","Date","Stability","Duration (s)"
"Get Chat Message","Get chat contents with valid path","SUCCESS","2023-04-04T09:48:26.326+07:00[Asia/Bangkok]","0.0","0.49"
"Get Chat Message","Get chat contents with invalid path","SUCCESS","2023-04-04T09:48:26.824+07:00[Asia/Bangkok]","0.0","0.36"
"Get Inbox List","Get all list chat with valid path","SUCCESS","2023-04-04T09:48:27.202+07:00[Asia/Bangkok]","0.0","0.53"
"Get Inbox List","Get all list chat with invalid path","SUCCESS","2023-04-04T09:48:27.736+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Message","Create message with valid parameter on json request body","SUCCESS","2023-04-04T09:48:28.094+07:00[Asia/Bangkok]","0.0","0.88"
"Post Create Message","Create message with invalid parameter mentor_id on json request body","SUCCESS","2023-04-04T09:48:28.988+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid parameter student_id on json request body","SUCCESS","2023-04-04T09:48:29.342+07:00[Asia/Bangkok]","0.0","0.56"
"Post Create Message","Create message with blank or empty parameter on json request body","SUCCESS","2023-04-04T09:48:29.913+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create message with extra parameter on json request body","SUCCESS","2023-04-04T09:48:30.309+07:00[Asia/Bangkok]","0.0","0.87"
"Post Create Message","Create messages longer than 500 characters","SUCCESS","2023-04-04T09:48:31.554+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create message without any characters or request body","SUCCESS","2023-04-04T09:48:31.92+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid path","SUCCESS","2023-04-04T09:48:32.281+07:00[Asia/Bangkok]","0.0","0.36"
