"Story","Title","Result","Date","Stability","Duration (s)"
"Get Mentor Transaction","Get mentor transaction with invalid path","SUCCESS","2023-04-06T09:15:16.393+07:00[Asia/Bangkok]","0.0","0.34"
"Get Student Transaction","Get student transaction with valid path","SUCCESS","2023-04-06T09:15:16.743+07:00[Asia/Bangkok]","0.0","0.6"
"Get Student Transaction","Get student transaction with invalid path","SUCCESS","2023-04-06T09:15:17.346+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid parameter class_id on json request body","SUCCESS","2023-04-06T09:15:20.988+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Transaction","Create transaction with invalid parameter schedule_id on json request body","SUCCESS","2023-04-06T09:15:21.34+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid parameter start_date on json request body","SUCCESS","2023-04-06T09:15:21.684+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with blank or empty parameter on json request body","SUCCESS","2023-04-06T09:15:22.027+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with extra parameter on json request body","SUCCESS","2023-04-06T09:15:22.378+07:00[Asia/Bangkok]","0.0","1.01"
"Post Create Transaction","Create transaction with 1 parameter only","SUCCESS","2023-04-06T09:15:23.392+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction without request body","SUCCESS","2023-04-06T09:15:23.736+07:00[Asia/Bangkok]","0.0","0.34"
"Post Create Transaction","Create transaction with invalid path","SUCCESS","2023-04-06T09:15:24.088+07:00[Asia/Bangkok]","0.0","0.34"
