"Story","Title","Result","Date","Stability","Duration (s)"
"Login mentor","Login mentor valid json","SUCCESS","2023-04-06T09:13:59.841+07:00[Asia/Bangkok]","0.0","5.27"
"Login mentor","Login mentor invalid json","SUCCESS","2023-04-06T09:14:05.131+07:00[Asia/Bangkok]","0.0","1.93"
"Login mentor","Login mentor blank json","SUCCESS","2023-04-06T09:14:07.075+07:00[Asia/Bangkok]","0.0","0.38"
"Login mentor","Login student valid json","SUCCESS","2023-04-06T09:14:07.489+07:00[Asia/Bangkok]","0.0","1.94"
"Login mentor","Login student invalid json","SUCCESS","2023-04-06T09:14:09.435+07:00[Asia/Bangkok]","0.0","0.37"
"Login mentor","Login student blank json","SUCCESS","2023-04-06T09:14:09.818+07:00[Asia/Bangkok]","0.0","0.58"
"Register mentor","Register mentor valid json","SUCCESS","2023-04-06T09:14:10.407+07:00[Asia/Bangkok]","0.0","2.26"
"Register mentor","Register mentor with existing json","FAILURE","2023-04-06T09:14:12.672+07:00[Asia/Bangkok]","0.0","0.53"
"Register mentor","Register mentor with invalid json","SUCCESS","2023-04-06T09:14:13.209+07:00[Asia/Bangkok]","0.0","0.36"
"Register mentor","Register mentor with blank json","SUCCESS","2023-04-06T09:14:13.58+07:00[Asia/Bangkok]","0.0","0.35"
"Register student","Register student valid data","SUCCESS","2023-04-06T09:14:13.942+07:00[Asia/Bangkok]","0.0","1.88"
"Register student","Register student with existing json","FAILURE","2023-04-06T09:14:15.83+07:00[Asia/Bangkok]","0.0","0.43"
"Register student","Register student invalid data","SUCCESS","2023-04-06T09:14:16.266+07:00[Asia/Bangkok]","0.0","1.9"
"Register student","Register student blank data","SUCCESS","2023-04-06T09:14:18.176+07:00[Asia/Bangkok]","0.0","0.56"
"Get Chat Message","Get chat contents with valid path","SUCCESS","2023-04-06T09:14:18.745+07:00[Asia/Bangkok]","0.0","0.48"
"Get Chat Message","Get chat contents with invalid path","SUCCESS","2023-04-06T09:14:19.237+07:00[Asia/Bangkok]","0.0","0.57"
"Get Inbox List","Get all list chat with valid path","SUCCESS","2023-04-06T09:14:19.818+07:00[Asia/Bangkok]","0.0","0.52"
"Get Inbox List","Get all list chat with invalid path","SUCCESS","2023-04-06T09:14:20.351+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with valid parameter on json request body","SUCCESS","2023-04-06T09:14:20.719+07:00[Asia/Bangkok]","0.0","0.85"
"Post Create Message","Create message with invalid parameter mentor_id on json request body","SUCCESS","2023-04-06T09:14:21.577+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create message with invalid parameter student_id on json request body","SUCCESS","2023-04-06T09:14:21.951+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with blank or empty parameter on json request body","SUCCESS","2023-04-06T09:14:22.312+07:00[Asia/Bangkok]","0.0","0.59"
"Post Create Message","Create message with extra parameter on json request body","SUCCESS","2023-04-06T09:14:22.909+07:00[Asia/Bangkok]","0.0","0.85"
"Post Create Message","Create message with 1 parameter(only chat contents)","FAILURE","2023-04-06T09:14:23.77+07:00[Asia/Bangkok]","0.0","0.36"
"Post Create Message","Create messages longer than 500 characters","SUCCESS","2023-04-06T09:14:24.138+07:00[Asia/Bangkok]","0.0","0.38"
"Post Create Message","Create message without any characters or request body","SUCCESS","2023-04-06T09:14:24.526+07:00[Asia/Bangkok]","0.0","0.35"
"Post Create Message","Create message with invalid path","SUCCESS","2023-04-06T09:14:24.888+07:00[Asia/Bangkok]","0.0","0.35"
"MusicLab API Automation Testing Capstone Project","Post to make a class with valid parameters of json file","SUCCESS","2023-04-06T09:14:25.241+07:00[Asia/Bangkok]","0.0","1.57"
"MusicLab API Automation Testing Capstone Project","Post to make a class with invalid parameters of json file","SUCCESS","2023-04-06T09:14:26.818+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Post to make a class with null parameter","SUCCESS","2023-04-06T09:14:27.165+07:00[Asia/Bangkok]","0.0","0.53"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor valid","SUCCESS","2023-04-06T09:14:27.706+07:00[Asia/Bangkok]","0.0","0.42"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor invalid","SUCCESS","2023-04-06T09:14:28.132+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Get mentor class detail","SUCCESS","2023-04-06T09:14:28.478+07:00[Asia/Bangkok]","0.0","0.42"
"MusicLab API Automation Testing Capstone Project","Put or edit a class valid json all parameters","SUCCESS","2023-04-06T09:14:28.907+07:00[Asia/Bangkok]","0.0","1.49"
"MusicLab API Automation Testing Capstone Project","Put or edit a class one parameter","SUCCESS","2023-04-06T09:14:30.402+07:00[Asia/Bangkok]","0.0","0.68"
"MusicLab API Automation Testing Capstone Project","Delete a class","FAILURE","2023-04-06T09:14:31.432+07:00[Asia/Bangkok]","0.0","0.63"
"Delete genre","Delete valid parameter genre","SUCCESS","2023-04-06T09:14:32.066+07:00[Asia/Bangkok]","0.0","0.53"
"Delete genre","Delete invalid parameter genre","SUCCESS","2023-04-06T09:14:32.601+07:00[Asia/Bangkok]","0.0","0.73"
"Delete genre","Delete blank parameter genre","SUCCESS","2023-04-06T09:14:33.337+07:00[Asia/Bangkok]","0.0","0.34"
"Get all data genre","Get all genre","SUCCESS","2023-04-06T09:14:33.691+07:00[Asia/Bangkok]","0.0","0.38"
"Get all data about genre mentor","Get mentor genre valid parameter","SUCCESS","2023-04-06T09:14:34.088+07:00[Asia/Bangkok]","0.0","0.43"
"Get all data about genre mentor","Get mentor genre invalid parameter","SUCCESS","2023-04-06T09:14:34.524+07:00[Asia/Bangkok]","0.0","0.35"
"Get all data about genre mentor","Get mentor genre blank parameter","SUCCESS","2023-04-06T09:14:34.885+07:00[Asia/Bangkok]","0.0","0.34"
"Mentor post genre","Mentor post genre with valid json","SUCCESS","2023-04-06T09:14:35.243+07:00[Asia/Bangkok]","0.0","0.53"
"Mentor post genre","Mentor post genre invalid json","SUCCESS","2023-04-06T09:14:35.78+07:00[Asia/Bangkok]","0.0","0.35"
"Mentor post genre","Mentor post genre blank json","SUCCESS","2023-04-06T09:14:36.134+07:00[Asia/Bangkok]","0.0","0.34"
"Mentor post genre","mentor post genre with no authorization","SUCCESS","2023-04-06T09:14:36.489+07:00[Asia/Bangkok]","0.0","0.35"
"[MusicLab-API] Get Feature Instrument","[Positive Case] Get All List Instruments Normal Condition","SUCCESS","2023-04-06T09:14:36.851+07:00[Asia/Bangkok]","0.0","0.38"
"[MusicLab-API] Get Feature Instrument","[Negative Case] Get Single List Instruments Invalid ID","SUCCESS","2023-04-06T09:14:37.244+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Get Feature Instrument","[Positive Case] Get Single List Instruments Valid ID","SUCCESS","2023-04-06T09:14:37.578+07:00[Asia/Bangkok]","0.0","0.41"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments Invalid JSON","ERROR","2023-04-06T09:14:38.001+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments No Auth","ERROR","2023-04-06T09:14:38.031+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Positive Case] Post Create Mentors Instruments Valid JSON","ERROR","2023-04-06T09:14:38.059+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Valid ID No Auth","SUCCESS","2023-04-06T09:14:38.085+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Invalid ID","FAILURE","2023-04-06T09:14:38.42+07:00[Asia/Bangkok]","0.0","0.34"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Blank ID","ERROR","2023-04-06T09:14:38.767+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Delete Feature Instrument","[Positive Case] Delete Instruments Valid ID","SUCCESS","2023-04-06T09:14:38.789+07:00[Asia/Bangkok]","0.0","0.5"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get All List Mentors With Invalid Parameters","FAILURE","2023-04-06T09:14:39.3+07:00[Asia/Bangkok]","0.0","2.77"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get All List Mentors Normal Condition","SUCCESS","2023-04-06T09:14:42.074+07:00[Asia/Bangkok]","0.0","0.39"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get All List Mentors With Valid Parameters","SUCCESS","2023-04-06T09:14:42.467+07:00[Asia/Bangkok]","0.0","3.28"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get All List Mentors Top Week","SUCCESS","2023-04-06T09:14:45.755+07:00[Asia/Bangkok]","0.0","0.38"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get Single List Mentors With Invalid ID","ERROR","2023-04-06T09:14:46.143+07:00[Asia/Bangkok]","0.0","0.09"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get Single List Mentors With Blank ID","ERROR","2023-04-06T09:14:46.242+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get Single Mentor Profile","SUCCESS","2023-04-06T09:14:46.261+07:00[Asia/Bangkok]","0.0","0.5"
"[MusicLab-API] Get Feature Mentors","[Positive Case] Get Single List Mentors With Valid ID","PENDING","2023-04-06T09:14:46.783+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Post Feature Mentors","[Negative Case] Post Create Mentors Credential With Invalid JSON","SUCCESS","2023-04-06T09:14:46.801+07:00[Asia/Bangkok]","0.0","0.32"
"[MusicLab-API] Post Feature Mentors","[Negative Case] Post Create Mentors Credential With Valid JSON No Auth","SUCCESS","2023-04-06T09:14:47.132+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Post Feature Mentors","[Negative Case] Post Create Mentors Credential With Oversize Image","SUCCESS","2023-04-06T09:14:47.473+07:00[Asia/Bangkok]","0.0","2.76"
"[MusicLab-API] Post Feature Mentors","[Positive Case] Post Create Mentors Credential With Valid JSON","SUCCESS","2023-04-06T09:14:50.237+07:00[Asia/Bangkok]","0.0","1.29"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Password With Invalid JSON","SUCCESS","2023-04-06T09:14:51.538+07:00[Asia/Bangkok]","0.0","0.34"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Password With Valid JSON No Authorized","SUCCESS","2023-04-06T09:14:51.881+07:00[Asia/Bangkok]","0.0","0.32"
"[MusicLab-API] Put Feature Mentors","[Positive Case] Put Update Mentors Password With Valid JSON","FAILURE","2023-04-06T09:14:52.211+07:00[Asia/Bangkok]","0.0","1.77"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Invalid JSON","ERROR","2023-04-06T09:14:53.989+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Valid JSON No Authorized","ERROR","2023-04-06T09:14:54.009+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Put Feature Mentors","[Negative Case] Put Update Mentors Profile With Oversize Image","SUCCESS","2023-04-06T09:14:54.035+07:00[Asia/Bangkok]","0.0","3.49"
"[MusicLab-API] Put Feature Mentors","[Positive Case] Put Update Mentors Profile With Valid JSON","FAILURE","2023-04-06T09:14:57.528+07:00[Asia/Bangkok]","0.0","2.31"
"[MusicLab-API] Delete Feature Mentors","[Positive Case] Delete Mentors Without Authorized","SUCCESS","2023-04-06T09:14:59.841+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Delete Feature Mentors","[Positive Case] Delete Mentors With Authorized","SUCCESS","2023-04-06T09:15:00.187+07:00[Asia/Bangkok]","0.0","0.49"
"[MusicLab-API] Get Feature Review","[Positive Case] Get Single List review With valid ID","SUCCESS","2023-04-06T09:15:00.689+07:00[Asia/Bangkok]","0.0","0.62"
"[MusicLab-API] Get Feature Review","[Negative Case] Get Single List review With invalid ID","SUCCESS","2023-04-06T09:15:01.312+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Post Feature Review","[Negative Case] Post Create Review With inValid JSON","SUCCESS","2023-04-06T09:15:01.661+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Post Feature Review","[Negative Case] Post Create Review With empty comment","SUCCESS","2023-04-06T09:15:01.996+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Post Feature Review","[Positive Case] Post Create Review With Valid JSON","SUCCESS","2023-04-06T09:15:02.332+07:00[Asia/Bangkok]","0.0","0.66"
"Music Lab API Automation Testing","Delete schedule with valid id","SUCCESS","2023-04-06T09:15:03.009+07:00[Asia/Bangkok]","0.0","1.25"
"Music Lab API Automation Testing","Delete schedule with invalid id","SUCCESS","2023-04-06T09:15:04.269+07:00[Asia/Bangkok]","0.0","0.68"
"Music Lab API Automation Testing","Delete schedule with empty id","SUCCESS","2023-04-06T09:15:04.96+07:00[Asia/Bangkok]","0.0","0.33"
"Music Lab API Automation Testing","Delete schedule valid id no authorization","SUCCESS","2023-04-06T09:15:05.301+07:00[Asia/Bangkok]","0.0","0.69"
"Music Lab API Automation Testing","Get mentor schedule with valid id","SUCCESS","2023-04-06T09:15:06.004+07:00[Asia/Bangkok]","0.0","0.84"
"Music Lab API Automation Testing","Get mentor schedule with valid id no authorization","SUCCESS","2023-04-06T09:15:06.849+07:00[Asia/Bangkok]","0.0","0.66"
"Music Lab API Automation Testing","Get mentor schedule with invalid id","SUCCESS","2023-04-06T09:15:07.519+07:00[Asia/Bangkok]","0.0","0.65"
"Music Lab API Automation Testing","Post add mentor schedule with valid json","SUCCESS","2023-04-06T09:15:08.178+07:00[Asia/Bangkok]","0.0","0.52"
"Music Lab API Automation Testing","Post add mentor schedule with invalid json","SUCCESS","2023-04-06T09:15:09.048+07:00[Asia/Bangkok]","0.0","0.5"
"Music Lab API Automation Testing","Post add mentor schedule with empty json","ERROR","2023-04-06T09:15:09.553+07:00[Asia/Bangkok]","0.0","0.01"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json","FAILURE","2023-04-06T09:15:09.575+07:00[Asia/Bangkok]","0.0","0.49"
"Music Lab API Automation Testing","Post add mentor schedule availability with valid json no authorization","SUCCESS","2023-04-06T09:15:10.076+07:00[Asia/Bangkok]","0.0","0.34"
"Music Lab API Automation Testing","Post add mentor schedule availability with empty json","SUCCESS","2023-04-06T09:15:10.422+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Get student data","SUCCESS","2023-04-06T09:15:11.101+07:00[Asia/Bangkok]","0.0","0.41"
"MusicLab API Automation Testing Capstone Project","Put or edit student profile with valid parameters","SUCCESS","2023-04-06T09:15:11.516+07:00[Asia/Bangkok]","0.0","0.51"
"MusicLab API Automation Testing Capstone Project","Put or edit student profile with invalid parameters","SUCCESS","2023-04-06T09:15:12.03+07:00[Asia/Bangkok]","0.0","0.33"
"MusicLab API Automation Testing Capstone Project","Put or edit a class null parameter","SUCCESS","2023-04-06T09:15:12.368+07:00[Asia/Bangkok]","0.0","0.33"
"MusicLab API Automation Testing Capstone Project","Deactive student","SUCCESS","2023-04-06T09:15:12.7+07:00[Asia/Bangkok]","0.0","0.49"
"MusicLab API Automation Testing Capstone Project","Put or edit student password with valid parameters","SUCCESS","2023-04-06T09:15:13.194+07:00[Asia/Bangkok]","0.0","1.68"
"MusicLab API Automation Testing Capstone Project","Put or edit student password with invalid parameters","SUCCESS","2023-04-06T09:15:14.888+07:00[Asia/Bangkok]","0.0","0.54"
